17/10/23 00:18:54 INFO gcs.GoogleHadoopFileSystemBase: GHFS version: 1.6.1-hadoop2
17/10/23 00:18:54 INFO client.RMProxy: Connecting to ResourceManager at hadoop-cluster-1-m/10.138.0.3:8032
17/10/23 00:18:55 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
17/10/23 00:18:57 WARN gcsio.GoogleCloudStorage: Repairing batch of 1 missing directories.
17/10/23 00:18:57 WARN gcsio.GoogleCloudStorage: Successfully repaired 1/1 implicit directories.
17/10/23 00:18:59 INFO input.FileInputFormat: Total input files to process : 3035
17/10/23 00:18:59 INFO mapreduce.JobSubmitter: number of splits:3035
17/10/23 00:18:59 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1508717458547_0001
17/10/23 00:19:00 INFO impl.YarnClientImpl: Submitted application application_1508717458547_0001
17/10/23 00:19:00 INFO mapreduce.Job: The url to track the job: http://hadoop-cluster-1-m:8088/proxy/application_1508717458547_0001/
17/10/23 00:19:00 INFO mapreduce.Job: Running job: job_1508717458547_0001
17/10/23 00:19:11 INFO mapreduce.Job: Job job_1508717458547_0001 running in uber mode : false
17/10/23 00:19:11 INFO mapreduce.Job:  map 0% reduce 0%
17/10/23 00:20:00 INFO mapreduce.Job:  map 1% reduce 0%
17/10/23 00:21:17 INFO mapreduce.Job:  map 2% reduce 0%
17/10/23 00:22:33 INFO mapreduce.Job:  map 3% reduce 0%
17/10/23 00:23:43 INFO mapreduce.Job:  map 4% reduce 0%
17/10/23 00:24:53 INFO mapreduce.Job:  map 5% reduce 0%
17/10/23 00:25:56 INFO mapreduce.Job:  map 6% reduce 0%
17/10/23 00:27:05 INFO mapreduce.Job:  map 7% reduce 0%
17/10/23 00:28:07 INFO mapreduce.Job:  map 8% reduce 0%
17/10/23 00:29:18 INFO mapreduce.Job:  map 9% reduce 0%
17/10/23 00:30:29 INFO mapreduce.Job:  map 10% reduce 0%
17/10/23 00:31:40 INFO mapreduce.Job:  map 11% reduce 0%
17/10/23 00:32:48 INFO mapreduce.Job:  map 12% reduce 0%
17/10/23 00:33:57 INFO mapreduce.Job:  map 13% reduce 0%
17/10/23 00:35:05 INFO mapreduce.Job:  map 14% reduce 0%
17/10/23 00:36:21 INFO mapreduce.Job:  map 15% reduce 0%
17/10/23 00:37:32 INFO mapreduce.Job:  map 16% reduce 0%
17/10/23 00:38:36 INFO mapreduce.Job:  map 17% reduce 0%
17/10/23 00:39:43 INFO mapreduce.Job:  map 18% reduce 0%
17/10/23 00:40:49 INFO mapreduce.Job:  map 19% reduce 0%
17/10/23 00:41:54 INFO mapreduce.Job:  map 20% reduce 0%
17/10/23 00:43:06 INFO mapreduce.Job:  map 21% reduce 0%
17/10/23 00:44:11 INFO mapreduce.Job:  map 22% reduce 0%
17/10/23 00:45:20 INFO mapreduce.Job:  map 23% reduce 0%
17/10/23 00:46:25 INFO mapreduce.Job:  map 24% reduce 0%
17/10/23 00:47:32 INFO mapreduce.Job:  map 25% reduce 0%
17/10/23 00:48:35 INFO mapreduce.Job:  map 26% reduce 0%
